tweet_id,retweets,favorites
819952236453363712,1338,5836
819924195358416896,5499,14084
819711362133872643,3549,14716
819588359383371776,2227,10471
819347104292290561,1360,7910
819238181065359361,454,2512
819227688460238848,7586,25290
819015337530290176,41455,0
819015331746349057,21393,0
819006400881917954,21393,49333
819004803107983360,41455,94321
818646164899774465,23635,0
818627210458333184,8422,24288
818614493328580609,2926,10821
818588835076603904,6990,0
818536468981415936,2808,11975
818307523543449600,9202,0
818259473185828864,2577,12045
818145370475810820,2946,13490
817908911860748288,894,5291
817827839487737858,30762,56855
817777686764523521,3026,11732
817536400337801217,3444,12941
817502432452313088,3848,0
817423860136083457,17108,37644
817415592588222464,1097,6163
817181837579653120,9689,0
817171292965273600,2279,9561
817120970343411712,2960,13216
817056546584727552,1878,9397
816829038950027264,5377,0
816816676327063552,2317,10949
816697700272001025,2494,10767
816450570814898180,9202,33545
816336735214911488,2226,9440
816091915477250048,2451,9794
816062466425819140,1184,0
816014286006976512,6047,0
815990720817401858,1184,5478
815966073409433600,9689,24710
815745968457060357,4696,0
815736392542261248,2576,10793
815639385530101762,1872,9047
815390420867969024,4318,11331
814986499976527872,1477,8377
814638523311648768,3076,12376
814578408554463233,6637,0
814530161257443328,2109,9521
814153002265309185,9897,31578
813944609378369540,3672,0
813910438903693312,2144,10205
813812741911748608,15957,39864
813800681631023104,2012,9176
813217897535406080,8294,20517
813202720496779264,2051,10071
813187593374461952,4964,21791
813172488309972993,2188,10260
813157409116065792,2514,8481
813142292504645637,2673,9240
813130366689148928,501,4897
813127251579564032,3578,13060
813112105746448384,3153,11358
813096984823349248,4122,11543
813081950185472002,3152,10842
813066809284972545,2219,8743
813051746834595840,8326,23001
812781120811126785,2168,8304
812747805718642688,7927,0
812709060537683968,1638,7286
812503143955202048,1397,6701
812466873996607488,2189,8795
812372279581671427,4184,15046
811985624773361665,1599,7996
811744202451197953,1836,8304
811647686436880384,844,6121
811627233043480576,3576,14086
811386762094317568,7289,22976
810984652412424192,1624,5866
810896069567610880,2040,9962
810657578271330305,3006,12051
810284430598270976,13066,39070
810254108431155201,3828,16162
809920764300447744,4438,17026
809808892968534016,5592,0
809448704142938112,1670,7622
809220051211603969,6414,21936
809084759137812480,3985,14508
808838249661788160,3461,11117
808733504066486276,2463,8690
808501579447930884,2952,12415
808344865868283904,23635,46707
808134635716833280,6817,0
808106460588765185,2477,9590
808001312164028416,4019,13820
807621403335917568,4196,16049
